LayerID, Total Cycles, Stall Cycles, Overall Util %, Mapping Efficiency %, Compute Util %,
0, 635903, 0, 72.46388207006414, 100.0, 68.96551724138314,
1, 635903, 0, 72.46388207006414, 100.0, 68.96551724138314,
2, 635903, 0, 72.46388207006414, 100.0, 68.96551724138314,
3, 635903, 0, 72.46388207006414, 100.0, 68.96551724138314,
4, 635903, 0, 72.46388207006414, 100.0, 68.96551724138314,
5, 635903, 0, 72.46388207006414, 100.0, 68.96551724138314,
6, 635903, 0, 72.46388207006414, 100.0, 68.96551724138314,
7, 635903, 0, 72.46388207006414, 100.0, 68.96551724138314,
8, 635903, 0, 72.46388207006414, 100.0, 68.96551724138314,
9, 635903, 0, 72.46388207006414, 100.0, 68.96551724138314,
10, 635903, 0, 72.46388207006414, 100.0, 68.96551724138314,
11, 497663, 0, 29.62968916716734, 100.0, 26.229508196725597,
12, 995327, 0, 29.629659398368577, 100.0, 26.22950819672061,
13, 995327, 0, 29.629659398368577, 100.0, 26.22950819672061,
14, 995327, 0, 29.629659398368577, 100.0, 26.22950819672061,
15, 995327, 0, 29.629659398368577, 100.0, 26.22950819672061,
16, 995327, 0, 29.629659398368577, 100.0, 26.22950819672061,
17, 16223, 0, 2.490291561363496, 97.11538461538461, 2.11120401337791,
