LayerID, SRAM IFMAP Start Cycle, SRAM IFMAP Stop Cycle, SRAM IFMAP Reads, SRAM Filter Start Cycle, SRAM Filter Stop Cycle, SRAM Filter Reads, SRAM OFMAP Start Cycle, SRAM OFMAP Stop Cycle, SRAM OFMAP Writes, DRAM IFMAP Start Cycle, DRAM IFMAP Stop Cycle, DRAM IFMAP Reads, DRAM Filter Start Cycle, DRAM Filter Stop Cycle, DRAM Filter Reads, DRAM OFMAP Start Cycle, DRAM OFMAP Stop Cycle, DRAM OFMAP Writes,
0, 17.0, 635897.0, 7372800, 1.0, 635782.0, 589824, 31.0, 635903.0, 3686400, -1619.0, 634592.0, 7372800, -7370.0, 635632.0, 589824, 2842.0, 637951.0, 3686407,
1, 17.0, 635897.0, 7372800, 1.0, 635782.0, 589824, 31.0, 635903.0, 3686400, -1619.0, 634592.0, 7372800, -7370.0, 635632.0, 589824, 2842.0, 637951.0, 3686407,
2, 17.0, 635897.0, 7372800, 1.0, 635782.0, 589824, 31.0, 635903.0, 3686400, -1619.0, 634592.0, 7372800, -7370.0, 635632.0, 589824, 2842.0, 637951.0, 3686407,
3, 17.0, 635897.0, 7372800, 1.0, 635782.0, 589824, 31.0, 635903.0, 3686400, -1619.0, 634592.0, 7372800, -7370.0, 635632.0, 589824, 2842.0, 637951.0, 3686407,
4, 17.0, 635897.0, 7372800, 1.0, 635782.0, 589824, 31.0, 635903.0, 3686400, -1619.0, 634592.0, 7372800, -7370.0, 635632.0, 589824, 2842.0, 637951.0, 3686407,
5, 17.0, 635897.0, 7372800, 1.0, 635782.0, 589824, 31.0, 635903.0, 3686400, -1619.0, 634592.0, 7372800, -7370.0, 635632.0, 589824, 2842.0, 637951.0, 3686407,
6, 17.0, 635897.0, 7372800, 1.0, 635782.0, 589824, 31.0, 635903.0, 3686400, -1619.0, 634592.0, 7372800, -7370.0, 635632.0, 589824, 2842.0, 637951.0, 3686407,
7, 17.0, 635897.0, 7372800, 1.0, 635782.0, 589824, 31.0, 635903.0, 3686400, -1619.0, 634592.0, 7372800, -7370.0, 635632.0, 589824, 2842.0, 637951.0, 3686407,
8, 17.0, 635897.0, 7372800, 1.0, 635782.0, 589824, 31.0, 635903.0, 3686400, -1619.0, 634592.0, 7372800, -7370.0, 635632.0, 589824, 2842.0, 637951.0, 3686407,
9, 17.0, 635897.0, 7372800, 1.0, 635782.0, 589824, 31.0, 635903.0, 3686400, -1619.0, 634592.0, 7372800, -7370.0, 635632.0, 589824, 2842.0, 637951.0, 3686407,
10, 17.0, 635897.0, 7372800, 1.0, 635782.0, 589824, 31.0, 635903.0, 3686400, -1619.0, 634592.0, 7372800, -7370.0, 635632.0, 589824, 2842.0, 637951.0, 3686407,
11, 17.0, 497657.0, 2359296, 1.0, 497626.0, 1179648, 31.0, 497663.0, 1179648, -949.0, -1.0, 9216, -7370.0, 497456.0, 1179648, 6943.0, 499711.0, 1179655,
12, 17.0, 995321.0, 4718592, 1.0, 995290.0, 2359296, 31.0, 995327.0, 2359296, -1619.0, 991810.0, 2086754, -7370.0, 994912.0, 2359296, 6943.0, 997375.0, 2359303,
13, 17.0, 995321.0, 4718592, 1.0, 995290.0, 2359296, 31.0, 995327.0, 2359296, -1619.0, 991810.0, 2086754, -7370.0, 994912.0, 2359296, 6943.0, 997375.0, 2359303,
14, 17.0, 995321.0, 4718592, 1.0, 995290.0, 2359296, 31.0, 995327.0, 2359296, -1619.0, 991810.0, 2086754, -7370.0, 994912.0, 2359296, 6943.0, 997375.0, 2359303,
15, 17.0, 995321.0, 4718592, 1.0, 995290.0, 2359296, 31.0, 995327.0, 2359296, -1619.0, 991810.0, 2086754, -7370.0, 994912.0, 2359296, 6943.0, 997375.0, 2359303,
16, 17.0, 995321.0, 4718592, 1.0, 995290.0, 2359296, 31.0, 995327.0, 2359296, -1619.0, 991810.0, 2086754, -7370.0, 994912.0, 2359296, 6943.0, 997375.0, 2359303,
17, 17.0, 16217.0, 6656, 1.0, 16201.0, 51712, 31.0, 16220.0, 3232, -66.0, -1.0, 512, -5307.0, -1.0, 51712, 16223.0, 16626.0, 3232,
